#,Photo,Product,Category,Section,Material,Dimensions (cm),Keep / Remove,Notes
1,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/two-tier-serving-stand-000.jpg"", 1)",Two-Tier Serving Stand,Two-Tier Serving Stand,Tiered Stands,Silver-plate,,,
2,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/footed-dome-server-001.jpg"", 1)",Footed Dome Server,Footed Dome Server,Covered Dishes & Tureens,Silver-plate,,,
3,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/footed-goblet-set-002.jpg"", 1)",Footed Goblet Set,Footed Goblet Set,Tea & Coffee Service,Silver-plate,,,
4,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/scalloped-footed-bowl-003.jpg"", 1)",Scalloped Footed Bowl,Scalloped Footed Bowl,"Bowls, Baskets & Compotes",Silver-plate,,,
5,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/lidded-spice-dishes-004.jpg"", 1)",Lidded Spice Dishes,Lidded Spice Dishes,Covered Dishes & Tureens,Silver-plate,,,
6,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/small-covered-dishes-005.jpg"", 1)",Small Covered Dishes,Small Covered Dishes,Covered Dishes & Tureens,Silver-plate,,,
7,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/footed-compote-006.jpg"", 1)",Footed Compote,Footed Compote,"Bowls, Baskets & Compotes",Silver-plate,,,
8,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/handled-oval-bowl-007.jpg"", 1)",Handled Oval Bowl,Handled Oval Bowl,"Bowls, Baskets & Compotes",Silver-plate,,,
9,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/rectangular-handled-tray-008.jpg"", 1)",Rectangular Handled Tray,Rectangular Handled Tray,Trays & Platters,Silver-plate,,,
10,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/embossed-serving-tray-009.jpg"", 1)",Embossed Serving Tray,Embossed Serving Tray,Trays & Platters,Silver-plate,,,
11,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/rectangular-serving-tray-010.jpg"", 1)",Rectangular Serving Tray,Rectangular Serving Tray,Trays & Platters,Silver-plate,,,
12,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/round-charger-plate-011.jpg"", 1)",Round Charger Plate,Round Charger Plate,Trays & Platters,Silver-plate,,,
13,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/engraved-round-tray-012.jpg"", 1)",Engraved Round Tray,Engraved Round Tray,Trays & Platters,Silver-plate,,,
14,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/square-nesting-dishes-013.jpg"", 1)",Square Nesting Dishes,Square Nesting Dishes,Trays & Platters,Silver-plate,,,
15,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/oval-serving-platter-014.jpg"", 1)",Oval Serving Platter,Oval Serving Platter,Trays & Platters,Silver-plate,,,
16,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/rectangular-tray-015.jpg"", 1)",Rectangular Tray,Rectangular Tray,Trays & Platters,Silver-plate,,,
17,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/rectangular-tray-pair-016.jpg"", 1)",Rectangular Tray Pair,Rectangular Tray Pair,Trays & Platters,Silver-plate,,,
18,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/rectangular-tray-pair-017.jpg"", 1)",Rectangular Tray Pair,Rectangular Tray Pair,Trays & Platters,Silver-plate,,,
19,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/hammered-dome-cloche-018.jpg"", 1)",Hammered Dome Cloche,Hammered Dome Cloche,Covered Dishes & Tureens,Silver-plate,,,
20,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/pierced-oval-basket-019.jpg"", 1)",Pierced Oval Basket,Pierced Oval Basket,"Bowls, Baskets & Compotes",Silver-plate,,,
21,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/pierced-bonbon-basket-020.jpg"", 1)",Pierced Bonbon Basket,Pierced Bonbon Basket,"Bowls, Baskets & Compotes",Silver-plate,,,
22,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/pierced-bread-basket-021.jpg"", 1)",Pierced Bread Basket,Pierced Bread Basket,"Bowls, Baskets & Compotes",Silver-plate,,,
23,"=IMAGE(""https://jadouse5.github.io/taklidy-catalogue/images/pedestal-compote-022.jpg"", 1)",Pedestal Compote,Pedestal Compote,"Bowls, Baskets & Compotes",Silver-plate,,,
